0:0:0:0:0:0:0:1 - - [03/May/2022:19:15:48 +0900] "GET /BBS/img/4.7%20item_parentDrag.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:19:15:48 +0900] "GET /BBS/img/4.6%20item_width.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:19:15:48 +0900] "GET /BBS/img/4.8%20item_parentDrop.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:19:15:48 +0900] "GET /BBS/img/6.%20popup.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:19:15:48 +0900] "GET /BBS/img/5.%20item_right.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:19:15:48 +0900] "GET /BBS/img/8.%20download.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:19:15:48 +0900] "GET /BBS/img/7.%20upload.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2022:19:15:51 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:17:55 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:17:56 +0900] "GET /BBS/noticeAdmin.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [03/May/2022:19:17:59 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:00 +0900] "GET /BBS/studyboard.jsp HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:03 +0900] "GET /BBS/page.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:06 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:45 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:46 +0900] "GET /BBS/noticeAdmin.jsp HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:47 +0900] "GET /BBS/noticeAdmin.jsp HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:48 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 10996
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:49 +0900] "GET /BBS/recommendmap.jsp HTTP/1.1" 200 6657
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:49 +0900] "GET /BBS/studyboard.jsp HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:51 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:52 +0900] "GET /BBS/studyboard.jsp HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:54 +0900] "GET /BBS/noticeAdmin.jsp HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [03/May/2022:19:18:55 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:23:56 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 10996
0:0:0:0:0:0:0:1 - - [03/May/2022:19:23:57 +0900] "GET /BBS/post.jsp?category=notice&bbsID=35 HTTP/1.1" 200 3953
0:0:0:0:0:0:0:1 - - [03/May/2022:19:24:00 +0900] "GET /BBS/update.jsp?category=notice&bbsID=35 HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [03/May/2022:19:24:08 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:24:15 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 10996
0:0:0:0:0:0:0:1 - - [03/May/2022:19:24:16 +0900] "GET /BBS/post.jsp?category=notice&bbsID=35 HTTP/1.1" 200 3953
0:0:0:0:0:0:0:1 - - [03/May/2022:19:24:18 +0900] "GET /BBS/update.jsp?category=notice&bbsID=35 HTTP/1.1" 200 3565
0:0:0:0:0:0:0:1 - - [03/May/2022:19:24:22 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:31 +0900] "GET /BBS/noticeAdmin.jsp HTTP/1.1" 200 3812
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:36 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5275
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:37 +0900] "GET /BBS/studyboard.jsp HTTP/1.1" 200 3821
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:39 +0900] "GET /BBS/write.jsp?category=studyboard HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:42 +0900] "POST /BBS/writeAction.jsp?category=studyboard HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:42 +0900] "GET /BBS/studyboard.jsp HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [03/May/2022:19:36:43 +0900] "GET /BBS/write.jsp?category=studyboard HTTP/1.1" 200 3569
