127.0.0.1 - - [19/Feb/2022:19:31:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:31:31 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:31:37 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:31:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:31:45 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50874
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:32:20 +0900] "POST /BBS/privatemapAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:32:20 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49834
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:32:22 +0900] "POST /BBS/publicmapAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:32:22 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49834
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:32:32 +0900] "GET /BBS/recommendUp.jsp?userID=kim HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:32:32 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50871
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:49:02 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50912
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:49:08 +0900] "POST /BBS/publicmapAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:49:09 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49878
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:50:00 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50915
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:50:03 +0900] "POST /BBS/privatemapAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:50:03 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49875
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:52:13 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50912
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:52:20 +0900] "POST /BBS/publicmapAction.jsp HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:52:20 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50915
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:52:26 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50915
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:52:28 +0900] "POST /BBS/privatemapAction.jsp HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:52:28 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50912
0:0:0:0:0:0:0:1 - - [19/Feb/2022:19:52:37 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50912
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:28:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:28:52 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50394
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:28:56 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50394
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:28:59 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50394
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:29:03 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:36:37 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 51275
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:36:39 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:36:46 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:36:46 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:36:47 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 51275
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:36:49 +0900] "POST /BBS/map.jsp HTTP/1.1" 200 51275
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:36:51 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 51275
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:36:56 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 51275
0:0:0:0:0:0:0:1 - - [19/Feb/2022:20:36:57 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4338
