127.0.0.1 - - [16/Feb/2022:16:07:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Feb/2022:16:07:07 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [16/Feb/2022:16:07:11 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [16/Feb/2022:16:07:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Feb/2022:16:07:13 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 39457
0:0:0:0:0:0:0:1 - - [16/Feb/2022:16:49:51 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 39658
0:0:0:0:0:0:0:1 - - [16/Feb/2022:16:51:15 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 39645
0:0:0:0:0:0:0:1 - - [16/Feb/2022:16:51:54 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 39650
0:0:0:0:0:0:0:1 - - [16/Feb/2022:16:53:28 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 39662
0:0:0:0:0:0:0:1 - - [16/Feb/2022:17:04:24 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 39963
0:0:0:0:0:0:0:1 - - [16/Feb/2022:17:13:25 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 40095
0:0:0:0:0:0:0:1 - - [16/Feb/2022:17:13:42 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 40096
0:0:0:0:0:0:0:1 - - [16/Feb/2022:17:14:10 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 40133
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:06:16 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 40948
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:08:14 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 41069
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:09:02 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 41083
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:27:46 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 42859
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:28:13 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 42868
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:33:27 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 43252
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:34:25 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 43232
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:38:44 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 43260
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:42:58 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 43221
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:44:02 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 43221
0:0:0:0:0:0:0:1 - - [16/Feb/2022:18:44:42 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 43249
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:07:30 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 43840
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:08:29 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 43848
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:35:16 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 44794
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:36:15 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 40500
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:50:24 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 41418
0:0:0:0:0:0:0:1 - - [16/Feb/2022:19:51:58 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 41430
0:0:0:0:0:0:0:1 - - [16/Feb/2022:20:09:10 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 41632
0:0:0:0:0:0:0:1 - - [16/Feb/2022:20:10:04 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 41642
0:0:0:0:0:0:0:1 - - [16/Feb/2022:22:28:50 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 41185
