127.0.0.1 - - [17/Mar/2022:14:45:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:45:49 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:46:00 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:46:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:11 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:14 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=all HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:19 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=private HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:20 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=all HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:32 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90800
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:46 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:46 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4420
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:48 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:49 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=all HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:47:51 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 91630
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:00 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:00 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:02 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:04 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=all HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:05 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90800
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:11 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90800
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:32 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:35 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:35 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4420
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:37 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:42 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=all HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:44 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90799
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:50 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90799
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:58 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4420
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:59 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:48:59 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:49:15 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:49:19 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=all HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:49:21 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90800
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:50:01 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90800
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:53:35 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:54:42 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:54:44 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:54:55 +0900] "GET /BBS/map.jsp?userID=Alice HTTP/1.1" 200 89000
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:55:49 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:55:58 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:56:22 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:56:28 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:56:30 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:56:32 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:56:39 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:56:40 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:56:42 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:57:51 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:57:53 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:57:54 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:58:03 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [17/Mar/2022:14:58:30 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:01:40 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:02:13 +0900] "GET /BBS/post.jsp?bbsID=36 HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:02:57 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 6176
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:03:13 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:03:14 +0900] "GET /BBS/map.jsp?userID=Alice HTTP/1.1" 200 89000
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:13:06 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:13:37 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:13:39 +0900] "GET /BBS/map.jsp?userID=Alice HTTP/1.1" 200 89000
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:17:48 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:18:04 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:19:28 +0900] "GET /BBS/page.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [17/Mar/2022:15:20:19 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7545
