127.0.0.1 - - [28/Feb/2022:15:13:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:13:36 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:13:42 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:13:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:13:45 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:13:48 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:13:48 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:13:49 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 67103
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:14:46 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:14:48 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:14:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:14:54 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 67104
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:14:56 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:14:57 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:14:58 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [28/Feb/2022:15:15:00 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 67103
