127.0.0.1 - - [02/Mar/2022:13:41:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:41:08 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:41:17 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:41:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:45:07 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 69553
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:53:27 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:53:27 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4378
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:53:28 +0900] "GET /BBS/map.jsp?userID=%27 HTTP/1.1" 200 69024
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:54:13 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:54:15 +0900] "GET /BBS/map.jsp?userID=%27 HTTP/1.1" 200 69024
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:54:33 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:54:37 +0900] "GET /BBS/map.jsp?userID=%27 HTTP/1.1" 200 69024
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:54:41 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 69553
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:56:27 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:56:27 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:56:31 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:56:31 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4372
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:56:33 +0900] "GET /BBS/map.jsp?userID=%27 HTTP/1.1" 200 69024
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:57:31 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:57:32 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 69553
0:0:0:0:0:0:0:1 - - [02/Mar/2022:13:59:55 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:00:00 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 69553
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:00:07 +0900] "GET /BBS/map.jsp?userID=Alice HTTP/1.1" 200 69033
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:01:06 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:01:07 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 69611
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:01:10 +0900] "GET /BBS/map.jsp?userID=Alice HTTP/1.1" 200 69092
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:01:13 +0900] "GET /BBS/map.jsp?userID=Mike HTTP/1.1" 200 69090
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:01:15 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 69611
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:04:15 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:04:16 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 69887
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:04:20 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:04:24 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:04:26 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:04:28 +0900] "GET /BBS/map.jsp?userID=Alice HTTP/1.1" 200 69367
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:16:15 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:16:16 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:16:16 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:16:19 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:16:19 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:16:30 +0900] "GET /BBS/map.jsp?userID=Alice HTTP/1.1" 200 72945
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:18:51 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:18:52 +0900] "GET /BBS/map.jsp?userID=Alice HTTP/1.1" 200 73013
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:21 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 73532
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:23 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:23 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:24 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:25 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:26 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:27 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:28 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:31 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:32 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:34 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:34 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4362
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:19:39 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 75106
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:20:21 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:20:21 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:20:23 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:20:23 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:20:25 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 75106
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:20:37 +0900] "GET /BBS/popup.jsp?id=grade2_item4L HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:23:06 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 75106
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:34:28 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74450
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:34:39 +0900] "GET /BBS/popup.jsp?id=grade1_item1L HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:34:49 +0900] "GET /BBS/upload_map.jsp?id=grade1_item1L HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:35:45 +0900] "GET /BBS/map.jsp?userID=aaa HTTP/1.1" 200 73006
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:35:50 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:35:50 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:35:53 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:35:53 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:35:55 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 75113
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:35:59 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:36:00 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:36:05 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:36:05 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:36:08 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:36:08 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:36:09 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74808
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:36:12 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Mar/2022:14:36:12 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:35:17 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:35:19 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:35:23 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:35:23 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:35:25 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74817
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:35:29 +0900] "GET /BBS/recommendUp.jsp?userID=kim&mapID=kim HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:35:30 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74817
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:40:42 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74880
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:41:33 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:41:41 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:41:41 +0900] "GET /BBS/map.jsp?userID=aaa HTTP/1.1" 200 73080
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:01 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:06 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:07 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:07 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:12 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:14 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:14 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:15 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:15 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:16 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:28 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:33 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:33 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74882
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:50 +0900] "GET /BBS/popup.jsp?id=grade1_item5L HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:54 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:54 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:57 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:42:57 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:43:01 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 75711
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:43:02 +0900] "GET /BBS/recommendUp.jsp?userID=kim&mapID=kim HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:43:02 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 75711
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:43:04 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:43:08 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:43:08 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:43:09 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:43:11 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 75187
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:47:42 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:47:42 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:47:44 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:47:44 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:47:53 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:48:00 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:48:00 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:48:10 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:48:10 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:48:44 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:48:50 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:48:50 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:49:05 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:49:06 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:49:06 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:49:07 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:49:07 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:49:11 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:49:11 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:50:06 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:50:08 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:50:08 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:50:09 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:50:09 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 74524
0:0:0:0:0:0:0:1 - - [02/Mar/2022:15:50:13 +0900] "GET /BBS/recommendUp.jsp?userID=aaa&mapID=kim HTTP/1.1" 200 153
