127.0.0.1 - - [10/Mar/2022:14:01:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:05 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:11 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:18 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:18 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:20 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:23 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:24 +0900] "GET /BBS/notice.jsp?pageNumber=2 HTTP/1.1" 200 7298
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:25 +0900] "GET /BBS/notice.jsp?pageNumber=3 HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:26 +0900] "GET /BBS/notice.jsp?pageNumber=4 HTTP/1.1" 200 6065
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:01:27 +0900] "GET /BBS/notice.jsp?pageNumber=1 HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:03:37 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:03:43 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 89136
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:04:22 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 89136
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:04:36 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:04:36 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:04:36 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:04:39 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:17 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:17 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:18 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:18 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:18 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:19 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:19 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:19 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:44 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 89666
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:05:53 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 89666
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:13:32 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:13:32 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:13:34 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:02 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 88611
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:10 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:10 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:11 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:23 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:24 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:24 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:25 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:25 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:25 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:47 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:47 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:47 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:47 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:14:50 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:02 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:02 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:02 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:02 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:02 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:03 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:03 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:03 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:03 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:03 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:04 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:04 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:04 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:04 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:04 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:05 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:05 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:05 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:05 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:05 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:06 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:06 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:06 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:06 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:06 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:07 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:07 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:07 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:07 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:07 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:08 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:08 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:09 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:09 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:09 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:09 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:09 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:10 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:10 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:11 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:30 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:36 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:37 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:38 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:39 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:40 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:44 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:15:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:33 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:34 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:35 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:35 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:35 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:35 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:35 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:35 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:37 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:37 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:38 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:49 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:49 +0900] "POST /BBS/deleteFileAction.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:50 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:50 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:16:51 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:18:17 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:18:18 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:18:29 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:18:29 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:18:31 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 89693
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:19:52 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:19:52 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:19:55 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:19:55 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:19:57 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90190
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:20:01 +0900] "GET /BBS/recommendUp.jsp?userID=kim&mapID=kim HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:20:01 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90190
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:20:03 +0900] "GET /BBS/recommendUp.jsp?userID=kim&mapID=kim HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:20:03 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90190
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:21:02 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90190
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:21:14 +0900] "GET /BBS/recommendUp.jsp?userID=kim&mapID=kim HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:21:14 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90190
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:22:52 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:22:52 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:03 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:39 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:39 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:39 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:39 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:39 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:39 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:39 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:40 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:40 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:40 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:40 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:40 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:40 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:40 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:41 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:41 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:43 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:43 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:44 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:44 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:44 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:44 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:44 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:44 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:44 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:56 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:56 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:56 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:56 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:56 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:56 +0900] "POST /BBS/updateFileAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:56 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:23:56 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:25:15 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:25:57 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:25:57 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:26:09 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90722
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:26:13 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:26:14 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:26:15 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:26:19 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90722
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:27:05 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90722
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:27:11 +0900] "POST /BBS/publicmapAction.jsp?userID=kim&publicmap=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:27:18 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:27:25 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90722
0:0:0:0:0:0:0:1 - - [10/Mar/2022:14:27:28 +0900] "POST /BBS/publicmapAction.jsp?userID=kim&publicmap=0 HTTP/1.1" 200 116
