127.0.0.1 - - [08/Mar/2022:15:43:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:43:11 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:43:19 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:43:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:43:22 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:43:22 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:43:24 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87883
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:43:56 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:44:03 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:44:03 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:44:22 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:44:22 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:44:33 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:44:35 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:45:06 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [08/Mar/2022:15:45:59 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87857
