127.0.0.1 - - [21/Feb/2022:13:01:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:01:24 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:01:29 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:01:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:02:33 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:02:33 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:02:35 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 50776
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:03:24 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:03:31 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49740
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:03:32 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49740
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:04:25 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:04:28 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 51837
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:04:48 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:04:50 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 50099
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:05:21 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:05:23 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49740
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:10:38 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49740
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:10:42 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49740
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:10:46 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49740
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:14:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:14:54 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 50258
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:16:27 +0900] "GET /BBS/recommendUp.jsp?userID=kim HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:16:27 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 50258
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:16:36 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:16:44 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 51294
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:23:41 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 51294
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:23:55 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:23:56 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 50776
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:24:29 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:24:38 +0900] "GET /BBS/map.jsp?userID=Mike HTTP/1.1" 200 50351
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:24:46 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:27:18 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 51294
0:0:0:0:0:0:0:1 - - [21/Feb/2022:13:27:39 +0900] "GET /BBS/upload_map.jsp?id= HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:01:27 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 6759
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:06:26 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 49739
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:06:28 +0900] "POST /BBS/publicmapAction.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:06:29 +0900] "GET /BBS/map.jsp?userID=null HTTP/1.1" 200 49739
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:06:32 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:06:35 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:06:36 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [21/Feb/2022:14:06:36 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
