127.0.0.1 - - [16/May/2022:15:13:05 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:07 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:07 +0900] "GET /BBS/img/LogoColor.png HTTP/1.1" 200 17540
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:07 +0900] "GET /BBS/fonts/UNINOTE.otf HTTP/1.1" 200 732032
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:07 +0900] "GET /BBS/fonts/aTitleGothic3.ttf HTTP/1.1" 200 876236
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:07 +0900] "GET /BBS/fonts/aTitleGothic2.ttf HTTP/1.1" 200 877200
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:16 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:16 +0900] "GET /BBS/img/LogoColor.png HTTP/1.1" 200 17540
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:16 +0900] "GET /BBS/fonts/UNINOTE.otf HTTP/1.1" 200 732032
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:16 +0900] "GET /BBS/fonts/aTitleGothic3.ttf HTTP/1.1" 200 876236
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:16 +0900] "GET /BBS/fonts/aTitleGothic2.ttf HTTP/1.1" 200 877200
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:16 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/May/2022:15:13:19 +0900] "GET /BBS/map.jsp?userID=park HTTP/1.1" 200 101188
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:16 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:17 +0900] "GET /BBS/map.jsp?userID=park HTTP/1.1" 200 101079
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:20 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 101274
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:23 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:24 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:24 +0900] "GET /BBS/logoutAction.jsp?href=home HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:25 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:27 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:34 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:34 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:36 +0900] "GET /BBS/map.jsp?userID=park HTTP/1.1" 200 101209
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:38 +0900] "GET /BBS/recommendUp.jsp?userID=kim&mapID=park HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:39 +0900] "GET /BBS/map.jsp?userID=park HTTP/1.1" 200 101209
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:40 +0900] "GET /BBS/recommendUp.jsp?userID=kim&mapID=park HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:40 +0900] "GET /BBS/map.jsp?userID=park HTTP/1.1" 200 101209
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:56 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6312
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:57 +0900] "GET /BBS/logoutAction.jsp?href=home HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [16/May/2022:15:18:57 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [16/May/2022:15:32:01 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6545
