127.0.0.1 - - [29/Apr/2022:20:25:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:25:48 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:25:52 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:25:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:27:25 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:27:34 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:27:35 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4435
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:27:37 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:27:38 +0900] "GET /BBS/logoutAction.jsp?href=notice HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:27:38 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:27:41 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 91460
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:27:46 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:28:22 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:28:25 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:28:25 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:28:26 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 3308
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:34:15 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4435
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:34:20 +0900] "GET /BBS/logoutAction.jsp?href=home HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:34:20 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:34:23 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:35:09 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:35:16 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:35:16 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:35:16 +0900] "GET /BBS/post.jsp?bbsID=35 HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:35:17 +0900] "GET /BBS/update.jsp?bbsID=35 HTTP/1.1" 200 3334
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:23 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4435
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:24 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:27 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:27 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4435
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:28 +0900] "GET /BBS/logoutAction.jsp?href=home HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:29 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:31 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 3388
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:34 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:37 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:37 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:38 +0900] "GET /BBS/post.jsp?bbsID=35 HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [29/Apr/2022:20:38:40 +0900] "GET /BBS/update.jsp?bbsID=35 HTTP/1.1" 200 3334
