127.0.0.1 - - [08/Apr/2022:14:10:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:10:55 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:10:58 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:10:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:10:59 +0900] "GET /BBS/notice.jsp HTTP/1.1" 200 7608
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:14:49 +0900] "GET /BBS/post.jsp?bbsID=36 HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:15:32 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:15:35 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 90812
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:15:44 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:15:44 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:15:45 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 91640
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:15:51 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:16:33 +0900] "POST /BBS/uploadAction.jsp?id=grade1_item7L HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:16:34 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:16 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 91640
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:18 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:19 +0900] "POST /BBS/uploadAction.jsp?id=grade1_item7L HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:20 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:21 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:22 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:26 +0900] "POST /BBS/uploadAction.jsp?id=grade1_item7L HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:26 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:28 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:29 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:33 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:33 +0900] "POST /BBS/uploadAction.jsp?id=grade1_item7L HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:34 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:17:34 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:18:24 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:18:29 +0900] "POST /BBS/uploadAction.jsp?id=grade1_item7L HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:18:30 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:19:14 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:19:17 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:19:19 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 91640
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:19:20 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 91640
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:19:22 +0900] "GET /BBS/upload_map.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 1532
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:19:23 +0900] "GET /BBS/fileDownload.jsp?itemID=grade1_item7L&mapID=kim HTTP/1.1" 200 427
