127.0.0.1 - - [19/May/2022:20:52:57 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [19/May/2022:20:52:59 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [19/May/2022:20:52:59 +0900] "GET /BBS/img/LogoColor.png HTTP/1.1" 200 17540
0:0:0:0:0:0:0:1 - - [19/May/2022:20:52:59 +0900] "GET /BBS/fonts/UNINOTE.otf HTTP/1.1" 200 732032
0:0:0:0:0:0:0:1 - - [19/May/2022:20:52:59 +0900] "GET /BBS/fonts/aTitleGothic3.ttf HTTP/1.1" 200 876236
0:0:0:0:0:0:0:1 - - [19/May/2022:20:52:59 +0900] "GET /BBS/fonts/aTitleGothic2.ttf HTTP/1.1" 200 877200
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:03 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6531
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:03 +0900] "GET /BBS/img/LogoColor.png HTTP/1.1" 200 17540
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:03 +0900] "GET /BBS/fonts/aTitleGothic2.ttf HTTP/1.1" 200 877200
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:03 +0900] "GET /BBS/fonts/UNINOTE.otf HTTP/1.1" 200 732032
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:03 +0900] "GET /BBS/fonts/aTitleGothic3.ttf HTTP/1.1" 200 876236
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:03 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:08 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 6807
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:10 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=private HTTP/1.1" 200 6442
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:11 +0900] "GET /BBS/map.jsp?userID=test01 HTTP/1.1" 200 102244
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:23 +0900] "GET /BBS/map.jsp?userID=test01 HTTP/1.1" 200 102244
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:27 +0900] "GET /BBS/map.jsp?userID=bbb HTTP/1.1" 200 100538
0:0:0:0:0:0:0:1 - - [19/May/2022:20:53:30 +0900] "GET /BBS/map.jsp?userID=aaa HTTP/1.1" 200 100537
0:0:0:0:0:0:0:1 - - [19/May/2022:20:54:03 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [19/May/2022:20:54:03 +0900] "GET /BBS/recommendmap.jsp HTTP/1.1" 200 6553
0:0:0:0:0:0:0:1 - - [19/May/2022:20:54:06 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6298
0:0:0:0:0:0:0:1 - - [19/May/2022:20:54:06 +0900] "GET /BBS/map.jsp?userID=aaa&myLink=yes HTTP/1.1" 200 101183
0:0:0:0:0:0:0:1 - - [19/May/2022:20:54:08 +0900] "POST /BBS/publicmapAction.jsp?userID=aaa&publicmap=0 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [19/May/2022:20:54:12 +0900] "POST /BBS/publicmapAction.jsp?userID=aaa&publicmap=1 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [19/May/2022:20:54:13 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 6298
0:0:0:0:0:0:0:1 - - [19/May/2022:20:54:16 +0900] "GET /BBS/recommendmap.jsp?pageNumber=1&selected=public HTTP/1.1" 200 6563
