127.0.0.1 - - [23/Dec/2021:14:10:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:10:04 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 28394
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:10:14 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 28394
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:12:07 +0900] "GET /BBS/XSS_post.jsp HTTP/1.1" 500 99
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:12:45 +0900] "GET /BBS/XSS_post.jsp HTTP/1.1" 500 99
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:13:03 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:13:14 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:13:18 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:13:47 +0900] "GET /BBS/home.html HTTP/1.1" 200 5381
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:14:15 +0900] "GET /BBS/join.html HTTP/1.1" 200 6176
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:14:48 +0900] "GET /BBS/map.html HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:15:28 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 28394
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:15:34 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 28394
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:15:52 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 28394
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:16:01 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:16:01 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29111
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:16:04 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 29111
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:19:52 +0900] "GET /BBS/popup.html?id=item0_grade1 HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:38:05 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:38:09 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 5946
0:0:0:0:0:0:0:1 - - [23/Dec/2021:14:38:55 +0900] "GET /BBS/notice.html HTTP/1.1" 200 7625
