127.0.0.1 - - [09/Mar/2022:15:48:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:48:14 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:48:21 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:48:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:48:25 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:48:25 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:48:27 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 88481
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:06 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 88526
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:09 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:10 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:10 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:11 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:11 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:12 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:12 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:12 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:12 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:13 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:14 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:15 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:15 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:15 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:15 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:16 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:17 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:17 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:18 +0900] "POST /BBS/deleteFileAction.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:18 +0900] "POST /BBS/deleteFileAction.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:18 +0900] "POST /BBS/deleteFileAction.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:19 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:19 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:20 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:21 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:22 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:23 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:24 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:26 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:27 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:28 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:29 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:30 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:42 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:45 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:46 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:47 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:47 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:48 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:50 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:51 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:49:51 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:18 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87479
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:20 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:21 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:22 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:23 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:24 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:29 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:31 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:31 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:32 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:33 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:34 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:34 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:35 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:40 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:42 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:50:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:51:47 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87479
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:52:20 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:52:42 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87488
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:52:43 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:52:44 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:52:45 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:52:45 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87488
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:52:46 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:52:47 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:52:48 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87488
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:53:13 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87488
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:53:14 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:53:14 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:53:15 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87488
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:56:24 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87782
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:56:47 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87780
0:0:0:0:0:0:0:1 - - [09/Mar/2022:15:56:49 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 87780
