127.0.0.1 - - [12/May/2022:15:56:36 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:37 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:37 +0900] "GET /BBS/img/LogoColor.png HTTP/1.1" 200 17540
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:37 +0900] "GET /BBS/fonts/UNINOTE.otf HTTP/1.1" 200 732032
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:37 +0900] "GET /BBS/fonts/aTitleGothic3.ttf HTTP/1.1" 200 876236
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:37 +0900] "GET /BBS/fonts/aTitleGothic2.ttf HTTP/1.1" 200 877200
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:44 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:44 +0900] "GET /BBS/img/LogoColor.png HTTP/1.1" 200 17540
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:45 +0900] "GET /BBS/fonts/UNINOTE.otf HTTP/1.1" 200 732032
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:45 +0900] "GET /BBS/fonts/aTitleGothic2.ttf HTTP/1.1" 200 877200
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:45 +0900] "GET /BBS/fonts/aTitleGothic3.ttf HTTP/1.1" 200 876236
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:45 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:55 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:55 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [12/May/2022:15:56:57 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 96996
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:20 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:20 +0900] "POST /BBS/noteAction.jsp HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:21 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:22 +0900] "GET /BBS/upload_map.jsp?itemID=grade1&mapID=kim HTTP/1.1" 200 1932
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:41 +0900] "GET /BBS/logoutAction.jsp?href=home HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:42 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:42 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 96764
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:49 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:50 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:50 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 97528
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:56 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:57 +0900] "GET /BBS/logoutAction.jsp?href=home HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:57 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [12/May/2022:15:57:58 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 96764
0:0:0:0:0:0:0:1 - - [12/May/2022:15:58:28 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [12/May/2022:15:58:30 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [12/May/2022:15:58:30 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [12/May/2022:15:58:31 +0900] "GET /BBS/map.jsp?userID=kim&myLink=yes HTTP/1.1" 200 97528
0:0:0:0:0:0:0:1 - - [12/May/2022:15:59:39 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 5208
