127.0.0.1 - - [28/Oct/2021:17:36:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Oct/2021:17:36:32 +0900] "GET /BBS/map.jsp HTTP/1.1" 500 2263
0:0:0:0:0:0:0:1 - - [28/Oct/2021:17:36:50 +0900] "GET /BBS/map.jsp HTTP/1.1" 500 2263
0:0:0:0:0:0:0:1 - - [28/Oct/2021:17:36:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Oct/2021:17:37:20 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22267
0:0:0:0:0:0:0:1 - - [28/Oct/2021:17:38:18 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22334
0:0:0:0:0:0:0:1 - - [28/Oct/2021:17:59:32 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22370
0:0:0:0:0:0:0:1 - - [28/Oct/2021:18:03:51 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22384
0:0:0:0:0:0:0:1 - - [28/Oct/2021:18:04:33 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22384
0:0:0:0:0:0:0:1 - - [28/Oct/2021:18:04:44 +0900] "POST /BBS/saveAction.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [28/Oct/2021:18:04:47 +0900] "POST /BBS/saveAction.jsp HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [28/Oct/2021:18:12:32 +0900] "GET /BBS/map.jsp HTTP/1.1" 200 22385
0:0:0:0:0:0:0:1 - - [28/Oct/2021:18:12:39 +0900] "POST /BBS/saveAction.jsp HTTP/1.1" 404 806
