127.0.0.1 - - [04/Mar/2022:19:35:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:35:41 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:35:44 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:35:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:35:49 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:35:49 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:35:51 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 79084
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:36:00 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:36:02 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:39:04 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 79620
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:39:07 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:39:20 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:39:23 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:39:41 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:39:49 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:39:51 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:39:51 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:40:00 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:40:01 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:40:08 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:40:23 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 79626
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:40:28 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:40:42 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 79626
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:40:45 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:41:45 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:52:33 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 79842
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:56:08 +0900] "GET /BBS/popup.jsp?id=grade2 HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:59:32 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80056
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:01:17 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80008
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:04:09 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80108
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:04:57 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80149
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:05:12 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80149
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:06:19 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80167
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:06:29 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80167
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:06:51 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80162
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:06:59 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80167
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:10:15 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:10:16 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:10:16 +0900] "POST /BBS/saveItemAction.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:10:53 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80208
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:10:54 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80208
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:11:39 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80262
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:12:13 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80262
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:12:17 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80262
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:12:35 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 80262
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:14:14 +0900] "GET /BBS/popup.jsp?id=grade1 HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:18:13 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 81514
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:18:33 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 81519
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:19:01 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 81519
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:19:16 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 81519
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:22:00 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 81533
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:23:33 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 81545
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:24:07 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:24:08 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:24:16 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 500 2470
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:25:00 +0900] "GET /BBS/home.jsp HTTP/1.1" 200 4708
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:25:01 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 81215
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:25:04 +0900] "GET /BBS/map.jsp?userID=Alice HTTP/1.1" 200 80489
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:25:06 +0900] "GET /BBS/map.jsp?userID=Mike HTTP/1.1" 200 80487
0:0:0:0:0:0:0:1 - - [04/Mar/2022:20:25:24 +0900] "GET /BBS/map.jsp?userID=kim HTTP/1.1" 200 81215
